Knesset,Party,Name,Gender,Age,Birth Year,Birth Name,Hebraized Name?,Birthplace,Type of Birth Locality,Birth Region,Birth Country,Birth Country (Present),Date of Immigration,Community,Notes
1949-1951,Mapam,Hanan Rubin,Male,40,1908,Hans Rubin,1,Berlin,City,Kingdom of Prussia,German Empire,Germany,1933,Ashkenazi,
1949-1951,Mapam,Moshe Sneh,Male,39,1909,Mosze Klaynboym,1,Radzyń,Town,Lublin Governorate,Congress Poland,Poland,1940,Ashkenazi,
1949-1951,Mapam,Yitzhak Tabenkin,Male,60,1888,unknowm,unknown,Babruysk,City,Minsk Governorate,Russian Empire,Belarus,1912,Ashkenazi,
1949-1951,Mapam,Meir Yaari,Male,51,1897,Meyer Wald,1,Kańczuga,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1920,Ashkenazi,
1949-1951,Mapam,Aharon Zisling,Male,47,1901,Aharon Zisling,0,Minsk ,City,Minsk Governorate,Russian Empire,Belarus,1904,Ashkenazi,
1949-1951,United Religious Front,Yosef Burg,Male,39,1909,Shlomo Yosef Burg,0,Dresden,City,Kingdom of Saxony,German Empire,Germany,1939,Ashkenazi,
1949-1951,United Religious Front,Moshe Kelmer,Male,47,1901,Moshe Kelmer,0,Żychlin,City,Warsaw Governorate,Congress Poland,Poland,1921,Ashkenazi,
1949-1951,United Religious Front,Eliyahu-Moshe Ganhovsky,Male,47,1901,Eliyahu-Moshe Ganhovsky,0,Grajewo,Town,Łomża Governorate,Congress Poland,Poland,1932,Ashkenazi,
1949-1951,United Religious Front,Avraham-Yehuda Goldrat,Male,36,1912,Avraham-Yehuda Goldrat,0,Kielce,Town,Kielce Governorate,Congress Poland,Poland,1933,Ashkenazi,
1949-1951,United Religious Front,Aharon-Ya'akov Greenberg,Male,48,1900,Aharon-Ya'akov Greenberg,0,Sokołów Podlaski,Town,Łomża Governorate,Congress Poland,Poland,1934,Ashkenazi,
1949-1951,United Religious Front,Kalman Kahana,Male,38,1910,Kalman Kahana ,0,Brody,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Ukraine,1938,Ashkenazi,
1949-1951,United Religious Front,Meir-David Levenstein,Male,44,1904,Meir-David Loewenstein,0,Copenhagen,City,Copenhagen County,Kingdom of Denmark,Denmark,1934,Ashkenazi,
1949-1951,United Religious Front,Yitzhak-Meir Levin,Male,55,1893,Izaak Meir Levin,1,Góra Kalwaria,Town,Warsaw Governorate,Congress Poland,Poland,1940,Ashkenazi,
1949-1951,United Religious Front,Yehuda Leib Maimon,Male,73,1875,Yehuda Leib Fishman,1,Mărculești,Rural Community,Bessarabia Governorate,Russian Empire,Moldova,1913,Ashkenazi,
1949-1951,United Religious Front,Benjamin Mintz,Male,46,1903,Benjamin Mintz,0,Łódź,City,Łódź Governorate,Russian Empire,Poland,1925,Ashkenazi,
1949-1951,United Religious Front,Mordechai Nurock,Male,69,1879,Markus Nurock,1,Tukums,Town,Courland Governorate,Russian Empire,Latvia,1947,Ashkenazi,
1949-1951,United Religious Front,David-Zvi Pinkas,Male,53,1895,David-Zvi Pinkas,0,Sopron,City,Sopron County,Kingdom of Hungary,Hungary,1925,Ashkenazi,
1949-1951,United Religious Front,Avraham-Haim Shag,Male,65,1883,Avraham-Haim Zwebner,1,Jerusalem,City,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
